Rank,Name,Country,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2023 (€),Revenue 2020 (€),Number of employees 2023,Number of employees 2020,Founding year
242,Cosmico,Italy,IT & Software,685.3,98.8,"3,684,398","469,190",19,1,2020
243,Robin Radar Systems,Netherlands,Aerospace & Defence,684.4,98.7,"43,055,000","5,489,000",115,54,2010
244,Vizst Technology,UK,IT & Software,683.7,98.6,"11,620,875","1,436,494",46,21,2010
245,Beentouch,Italy,IT & Software,679.8,98.3,"2,528,693","324,277",16,3,2017
246,CloudRock,UK,Management consulting,676,98,"26,573,920.4","3,317,330.9",30,80,2017
247,barely digital,Germany,IT & Software,675.9,98,"26,606,000","3,429,000",18,3,2018
248,Volonline,Italy,Hospitality & Travel,673.7,97.8,"52,726,572","6,814,560",37,47,2012
249,Discover Car Hire,Latvia,Hospitality & Travel,673.6,97.8,"68,036,999","8,794,988",165,57,2013
250,Funkey,Belgium,Leisure & Entertainment,670.9,97.5,"3,773,949","489,558",18,6,2017
251,ehotel,Germany,IT & Software,668.2,97.3,"99,779,149","12,988,170",41,33,2000
252,Heart Apartments,Italy,Hospitality & Travel,665.1,97,"6,738,769","880,801",13,8,2015
253,Surfshark,Lithuania,IT & Software,661.5,96.7,"108,028,919","14,187,070",370,112,2018
254,My Property Host,UK,Hospitality & Travel,659.1,96.5,"6,140,630","783,669",45,7,2014
255,Klippa,Netherlands,IT & Software,656.8,96.3,"6,155,041","813,340",65,40,2015
256,Open Communication Partners,UK,Advertising & Marketing,655,96.2,"58,341,498","7,485,462",109,26,2017
257,Nitro Games,Finland,IT & Software,654.9,96.2,"8,841,600","1,171,300",48,36,2007
258,Aprila Bank,Norway,"Fintech, Financial Services & Insurance",654.5,96.1,"14,723,156","1,951,458",36,31,2017
259,Greenergy,Italy,Construction & Engineering,648.4,95.6,"13,071,588","1,746,676",34,14,2006
260,Iocoli porte e finestre,Italy,Manufacturing,646.9,95.5,"12,375,112","1,656,870",48,8,2008
261,Enermea,Italy,Construction & Engineering,646.8,95.5,"3,683,321","493,191",14,12,2007
262,Elevate,France,IT & Software,643.2,95.2,"11,726,306","1,577,824",100,12,2017
263,Juvigo,Germany,Hospitality & Travel,643,95.1,"2,446,410","329,271",38,20,2015
264,Les Associés,France,Management consulting,642.8,95.1,"6,106,224","822,092",4,0,2020
265,BPO Group,UK,Hospitality & Travel,642.4,95.1,"23,154,220","3,021,157",14,4,1970
266,Babylone consulting,France,Management consulting,640.4,94.9,"2,327,358","314,326",3,2,2020
267,Foorban,Italy,Food & Beverages,638.7,94.8,"5,113,232","692,172",64,24,2015
268,OBS Italia,Italy,Construction & Engineering,637.7,94.7,"10,459,398","1,417,923",8,8,2015
269,Langhammer,Germany,Automotive,637.6,94.7,"3,473,976","470,972",19,8,2018
270,inte-QT,Spain,Media & Telecommunications,633.7,94.3,"1,533,423","209,000",16,8,2018
271,Pirotecnica Sarro,Italy,Retail,632.2,94.2,"2,491,869","340,347",2,2,2017
272,Ciglieri,Italy,"Professional, Scientific & Technical Services",631.3,94.1,"1,515,147","207,178",32,3,2014
273,Voltaïca,France,Energy & Utilities,630.5,94,"21,620,129","2,959,487",38,5,2008
274,LumenWatt,Italy,Construction & Engineering,626.8,93.7,"1,650,042","227,023",4,3,2007
275,BG Legno,Italy,Construction & Engineering,626.2,93.7,"23,952,379","3,298,129",31,18,1993
276,Gruppo Circi,Italy,Construction & Engineering,623.3,93.4,"10,786,377","1,491,261",15,11,1981
277,adspecialist,Germany,Advertising & Marketing,619.2,93,"11,569,161","1,608,709",6,2,2019
278,Plum,UK,"Fintech, Financial Services & Insurance",618.7,93,"14,638,543","1,973,028",169,51,2016
279,Italy Car Rent,Italy,Logistics & Transportation,613.2,92.5,"51,220,301","7,182,181",159,52,2010
280,Viaggigiovani.it,Italy,Hospitality & Travel,611,92.3,"10,419,961","1,465,436",11,9,2008
281,Sagitta SGR,Italy,"Fintech, Financial Services & Insurance",609.9,92.2,"6,312,756","889,225",22,8,2000
282,Mews,Netherlands,Hospitality & Travel,608.8,92.1,"137,649,000","19,421,000",942,308,2012
283,Virta Global,Finland,IT & Software,606.2,91.9,"77,886,000","11,029,402",210,115,2013
284,Revo Costruzioni,Italy,Construction & Engineering,599.6,91.3,"14,617,623","2,089,302",21,7,2011
285,Focaldata,UK,IT & Software,595.5,90.9,"5,527,157","769,857",32,14,2017
286,Tecnica Group,Italy,Energy & Utilities,595.2,90.9,"3,952,334","568,528",24,11,2018
287,M.T. Energy S.r.l. Impianti tecnologici,Italy,Manufacturing,594.1,90.8,"26,986,015","3,887,899",207,137,2017
288,Cruciat,Italy,Manufacturing,594,90.7,"2,103,928","303,152",9,8,2019
289,We Exhibit,Italy,Leisure & Entertainment,593.2,90.7,"6,159,303","888,575",14,11,2015
290,Bitvavo,Netherlands,"Fintech, Financial Services & Insurance",593,90.7,"82,225,732","11,864,729",266,14,2018
291,König Kanaltechnik,Germany,"Professional, Scientific & Technical Services",590.6,90.4,"2,027,455","293,586",19,4,2020
292,Karl & Léon,France,Wholesale,584.6,89.9,"16,369,613","2,391,019",17,2,2015
293,Ecotek,Italy,Energy & Utilities,583.3,89.8,"30,931,680","4,526,678",12,8,2006
294,YKONE,France,Advertising & Marketing,576.5,89.1,"76,449,721","11,301,291",170,77,2008
295,Wenes Group,France,"Professional, Scientific & Technical Services",576.3,89.1,"6,934,839","1,025,479",22,9,2007
296,Formaggi Terre Sarde,Italy,Food & Beverages,573,88.8,"9,270,122","1,377,396",7,2,2005
297,Deutscher Bauservice,Germany,Construction & Engineering,572.9,88.8,"9,185,000","1,365,000",135,65,2019
298,Darwin Technologies,Italy,IT & Software,569.8,88.5,"5,970,073","891,271",15,11,2013
299,Metric,UK,"Professional, Scientific & Technical Services",569.7,88.5,"11,432,634","1,653,683",82,22,2020
300,Teicos,Italy,Construction & Engineering,568.5,88.4,"47,890,604","7,163,930",51,26,1995
301,MANS Network,Spain,Ecommerce,567.1,88.2,"3,145,066","471,476",8,5,2019
302,Lendi,Poland,"Fintech, Financial Services & Insurance",565.1,88.1,"44,601,591","6,379,900","1,837",70,2017
303,Greentech,Italy,Construction & Engineering,561.4,87.7,"1,690,000","255,509",4,2,2013
304,Sollis,Germany,Wholesale,561.3,87.7,"79,140,070","11,966,602",15,6,2017
305,ItalianGres,Italy,Construction & Engineering,561.2,87.7,"3,712,937","561,515",3,1,2019
306,eXalt,France,Management consulting,560.5,87.6,"74,365,000","11,258,315",904,191,2018
307,Ricehouse,Italy,Construction & Engineering,559.8,87.6,"2,327,129","352,686",4,4,2016
308,Appinio,Germany,IT & Software,559.5,87.5,"22,165,966","3,361,245",204,13,2014
309,Gecopra,Italy,IT & Software,558.4,87.4,"18,321,427","2,782,729",36,24,1988
310,EngUp Engineering,Italy,Construction & Engineering,557.7,87.4,"1,884,642","286,558",18,3,2019
311,Axtom,France,Real Estate,557.4,87.3,"208,524,000","31,719,348",217,76,2017
312,Tahir Investments,Germany,Hospitality & Travel,557.4,87.3,"4,557,685","693,322",66,22,2017
313,G&P Intech,Italy,Construction & Engineering,555.9,87.2,"19,726,923","3,007,400",14,5,2009
314,Globalfast,Germany,Logistics & Transportation,553.7,87,"6,450,000","986,700",9,9,2014
315,EGT-Wirth,Germany,Construction & Engineering,553.2,86.9,"6,799,664","1,040,938",29,12,2018
316,Digitalisim,France,Media & Telecommunications,552.5,86.9,"1,559,386","238,976",18,2,2020
317,Bonum,Italy,Wholesale,549.3,86.6,"7,406,974","1,140,776",36,11,2000
318,Scalizer,France,IT & Software,547.9,86.4,"1,526,826","235,671",20,1,2019
319,IOVES,Italy,Apparel & Fashion,545.6,86.2,"13,308,582","2,061,524",29,23,1950
320,Casta Diva Group,Italy,Advertising & Marketing,540.4,85.7,"111,506,678","17,411,446",116,79,2000
321,The Longevity Suite,Italy,Health Care & Life Sciences,538.7,85.5,"9,237,593","1,446,290",62,3,2019
322,Cohabs,Belgium,Real Estate,538,85.5,"9,890,000","1,550,264",58,15,2016
323,NEWU,Italy,Advertising & Marketing,536.4,85.3,"1,957,316","307,552",8,2,2019
324,Auxolar,Germany,Energy & Utilities,536,85.3,"3,360,151","528,297",18,11,2018
325,G.R. Costruzioni,Italy,Construction & Engineering,530,84.7,"4,993,239","792,583",31,16,2018
326,CCL Components,UK,Wholesale,528.7,84.6,"162,727,759","25,075,847",60,24,1997
327,Elettro A.M.,Italy,Manufacturing,527.9,84.5,"7,574,789","1,206,408",18,14,2006
328,GUSTO,France,Food & Beverages,526.1,84.3,"23,562,599","3,763,676",49,16,2012
329,Acri Ingenierie,France,Mechanical & Plant Engineering,525.3,84.2,"4,724,104","755,482",15,7,2012
330,CR Payroll,Ireland,"Fintech, Financial Services & Insurance",525.3,84.2,"3,430,698","548,648",44,13,2018
331,Words + Pixels,UK,Advertising & Marketing,524.9,84.2,"2,100,366","325,618",20,5,2020
332,AMX Consulting,Germany,IT & Software,523.5,84.1,"8,832,667","1,416,696",22,5,2017
333,BSN Group,UK,Construction & Engineering,522.2,83.9,"22,765,038","3,544,462",24,8,2018
334,Energynat,Poland,Wholesale,521.4,83.8,"85,079,093","13,026,151",28,21,2010
335,Valumen,France,Employment Services,521.3,83.8,"13,645,994","2,196,424",11,4,2015
336,GT Classic Cars,France,Automotive,519.7,83.7,"18,716,832","3,020,112",10,0,2012
337,BAURIX,Germany,Ecommerce,518.3,83.5,"3,432,146","555,099",1,1,2018
338,Requtech,Sweden,Media & Telecommunications,516.6,83.4,"2,924,615","525,583",12,2,2009
339,Southenergy,Italy,Energy & Utilities,513.3,83,"4,658,710","759,652",19,9,2008
340,Baroni Home,Italy,Ecommerce,512.4,83,"9,378,339","1,531,358",1,1,2016
341,Prodivi,Lithuania,IT & Software,508.3,82.6,"1,787,007","293,747",57,15,2017
342,Ecologia Sannita,Italy,Waste Management & recycling,506.6,82.4,"3,030,310","499,585",15,4,2018
343,Speri,Italy,Construction & Engineering,505.8,82.3,"40,615,375","6,704,220",49,14,1974
344,Consorzio Artea,Italy,Construction & Engineering,505.2,82.2,"11,136,700","1,840,227",4,3,2003
345,Sprintform,Hungary,IT & Software,502.2,81.9,"1,563,141","259,551",19,1,2019
346,LeHibou,France,IT & Software,502,81.9,"82,975,172","13,782,256",69,18,2017
347,POM,Belgium,"Fintech, Financial Services & Insurance",499,81.6,"3,466,441","578,750",15,9,2014
348,SCHMABO,Germany,Construction & Engineering,497.6,81.5,"7,350,000","1,230,000",29,5,2010
349,Aubert & Mathieu,France,Food & Beverages,497,81.4,"1,555,717","260,568",3,1,2018
350,Crea Energia,Italy,Energy & Utilities,496.6,81.4,"9,302,358","1,559,333",24,13,2010
351,ANTARES ENERGIA,Italy,Energy & Utilities,495.2,81.2,"18,986,626","3,189,708",12,7,2013
352,Brocchetta,Italy,Food & Beverages,492.3,80.9,"2,242,371","378,558",14,11,2019
353,Master Group,Italy,Media & Telecommunications,492.3,80.9,"20,970,465","3,540,811",85,6,2015
354,Soplaya,Italy,Food & Beverages,488.5,80.5,"7,502,908","1,274,945",46,16,2017
355,Tedee,Poland,IT & Software,486.4,80.3,"3,948,415","640,563",41,18,2018
356,Insuvia,Lithuania,"Professional, Scientific & Technical Services",485.5,80.2,"3,487,119","595,534",45,29,2014
357,Bumper,UK,"Fintech, Financial Services & Insurance",484.9,80.2,"13,993,705","2,317,730",67,13,2013
358,Golf Travel Group,UK,Hospitality & Travel,483.9,80.1,"19,038,022","3,158,806",24,8,2015
359,INIX Group Italia,Italy,IT & Software,482.6,79.9,"3,326,317","570,915",24,5,2018
360,CrazyGames,Belgium,IT & Software,482.6,79.9,"16,880,667","2,897,374",26,7,2014
361,Kochan Gerüstbau,Germany,Construction & Engineering,482.5,79.9,"7,334,000","1,259,000",27,21,2014
362,Stravito,Sweden,IT & Software,482.3,79.9,"8,592,678","1,635,104",80,40,2017
363,Aton Green Storage,Italy,Mechanical & Plant Engineering,481.5,79.8,"41,855,096","7,197,495",57,27,2014
364,Alliance des Énergies,France,Energy & Utilities,481,79.8,"15,121,568","2,602,872",35,10,2020
365,Teamservice,Italy,IT & Software,479.7,79.6,"11,355,909","1,958,961",35,20,1999
366,Dynisma,UK,Automotive,477.4,79.4,"13,900,504","2,332,201",48,8,2017
367,Cormatex,Italy,Mechanical & Plant Engineering,476.7,79.3,"18,849,660","3,268,576",29,23,1973
368,4Energy,Italy,"Professional, Scientific & Technical Services",475.8,79.2,"6,439,298","1,118,339",5,1,2014
369,Kahoot!,Norway,IT & Software,474.9,79.1,"152,686,380","23,975,900",463,184,2011
370,U.G.A. Nutraceuticals,Italy,Pharmaceuticals & Cosmetics,473.5,79,"33,712,985","5,877,966",16,10,2005
371,Branchspace,UK,IT & Software,472.7,78.9,"5,896,435","997,436",68,15,2011
372,Evondos Group,Finland,Health Care & Life Sciences,470.8,78.7,"41,390,535","7,251,923",319,98,2020
373,Dronivo,Germany,Electrical Manufacturing,467.5,78.4,"4,500,000","793,000",20,5,2017
374,Jeton,UK,"Fintech, Financial Services & Insurance",467,78.3,"33,020,189","5,641,929",55,6,2018
375,KoRo,Germany,Food & Beverages,466.2,78.2,"117,262,286","20,708,941",285,30,2014
376,Percinque,Italy,Management consulting,465.9,78.2,"4,242,768","749,760",2,3,2012
377,Energetic Efficiency,Italy,Construction & Engineering,465.6,78.2,"7,612,672","1,345,893",22,12,2010
378,SnackLab,Poland,Food & Beverages,464.5,78.1,"1,690,542","284,902",13,4,2020
379,Airteam,Germany,IT & Software,463.3,77.9,"1,887,000","335,000",27,4,2018
380,Studio Ekó,Italy,Construction & Engineering,462.8,77.9,"8,350,471","1,483,625",20,8,2011
381,Secret View,Netherlands,Retail,462.1,77.8,"2,173,757","386,689",24,12,2015
382,BuyAssociation,UK,Real Estate,460.9,77.7,"4,777,466","825,058",17,7,2017
383,Seeders,Netherlands,Advertising & Marketing,459.9,77.6,"12,837,349","2,292,643",59,19,2012
384,Atyos,France,IT & Software,459.5,77.5,"2,185,081","390,534",19,4,2018
385,Sparklers Club,France,Retail,456.8,77.2,"7,031,003","1,262,650",20,8,2015
386,Power of your building,Italy,Construction & Engineering,450.2,76.5,"4,001,301","727,198",21,14,2007
387,Cyclamen,France,Waste Management & recycling,447.7,76.3,"18,805,137","3,433,204",49,20,2013
388,Opencast,UK,IT & Software,447.5,76.2,"57,603,055","10,192,635",431,117,2012
389,MK Group,Germany,Construction & Engineering,446.9,76.2,"9,877,274","1,805,905",88,17,2017
390,Edileco,Italy,Construction & Engineering,445.4,76,"32,442,558","5,948,503",118,50,2005
391,Phyron,Sweden,IT & Software,445.4,76,"3,762,953","764,575",34,7,2019
392,B.Conseil,France,Management consulting,444.1,75.9,"5,596,584","1,028,601",49,7,2017
393,Vanaways,UK,Automotive,444.1,75.9,"126,175,358","22,466,579",58,11,2015
394,PaperDigits,Netherlands,Advertising & Marketing,443.3,75.8,"1,872,332","344,615",18,5,2019
395,gravity9,UK,IT & Software,442.3,75.7,"12,346,734","2,205,565",100,31,2017
396,Obiz,France,Advertising & Marketing,440.5,75.5,"83,110,752","15,377,128",107,34,2011
397,Hochwald Automobile,Germany,Automotive,439,75.3,"6,500,000","1,206,000",6,3,2012
398,Solutions Composites,France,Mechanical & Plant Engineering,438.4,75.3,"11,634,990","2,161,110",35,23,1998
399,Blu Appalti,Italy,Construction & Engineering,437,75.1,"9,532,033","1,774,971",35,13,2010
400,Holie's,Netherlands,Food & Beverages,436.2,75,"7,703,766","1,436,859",8,3,2018
401,Multevo,UK,Construction & Engineering,434.9,74.9,"30,967,467","5,608,720",220,52,2010
402,ACBC,Italy,Apparel & Fashion,433.6,74.7,"12,220,978","2,290,239",14,11,2017
403,Di Remigio Costruzioni,Italy,Construction & Engineering,433.4,74.7,"3,790,450","710,638",23,9,2006
404,221e Srl,Italy,IT & Software,432.6,74.6,"2,000,697","375,661",15,9,2012
405,VST Fire Solutions,Netherlands,Construction & Engineering,430.6,74.4,"23,086,738","4,351,152",5,4,2019
406,Fluentbe,Poland,Education & Social Services,430.4,74.4,"5,157,619","925,206",434,111,2015
407,Printeers,Netherlands,Ecommerce,430.1,74.4,"3,096,021","583,991",15,3,2009
408,DASH Water,UK,Food & Beverages,429.9,74.3,"14,056,991","2,570,031",26,9,2017
409,Grizzly New Marketing,Belgium,Advertising & Marketing,429.7,74.3,"4,236,602","799,755",47,19,2010
410,BitQ,Italy,IT & Software,427.8,74.1,"11,691,357","2,215,226",17,7,2006
411,Edilenergia,Italy,Construction & Engineering,427.5,74.1,"9,801,201","1,858,074",43,16,2018
412,Indigo Independent Governance,UK,"Professional, Scientific & Technical Services",426.9,74,"1,525,618","280,475",10,4,2005
413,PetroSol,Romania,IT & Software,424.4,73.7,"1,584,629","302,187",8,6,2014
414,Seats.io,Belgium,IT & Software,420.9,73.3,"3,781,043","725,884",6,4,2014
415,Feedgy,France,Energy & Utilities,419.2,73.2,"14,011,626","2,698,799",38,14,2014
416,OSMOSUN,France,Waste Management & recycling,419.1,73.1,"3,002,794","578,481",25,18,2014
417,FLOK AG,Switzerland,Hospitality & Travel,419,73.1,"3,343,851","553,338",19,11,2016
418,CreationDose,Italy,Advertising & Marketing,416.7,72.9,"2,077,839","402,155",43,14,2018
419,Kolsquare,France,IT & Software,415.6,72.8,"6,313,069","1,224,397",39,24,2010
420,Domum-Bau,Germany,Construction & Engineering,415.3,72.7,"8,930,388","1,733,051",12,8,2017
421,Reos,Germany,Real Estate,415,72.7,"5,632,739","1,093,801",84,26,2017
422,Garaude,France,Wholesale,413.2,72.5,"20,772,307","4,047,467",13,7,1995
423,Ondato,Lithuania,"Fintech, Financial Services & Insurance",412.6,72.4,"6,638,000","1,295,000",149,34,2014
424,Isoterma,Italy,Construction & Engineering,411.4,72.3,"28,320,067","5,538,171",37,19,2014
425,Groupe Roy Énergie,France,Energy & Utilities,407.6,71.9,"26,071,053","5,136,408",106,31,2016
426,Green Creative,France,Manufacturing,406.4,71.7,"6,187,627","1,221,854",17,13,2010
427,Smart Eventi,Italy,Advertising & Marketing,403,71.3,"4,453,086","885,332",16,10,2010
428,Greenovative,Germany,Energy & Utilities,402.7,71.3,"96,793,000","19,253,000",83,19,2013
429,Bluewave,Netherlands,Advertising & Marketing,402.3,71.3,"5,821,506","1,159,000",14,8,2018
430,SP Group,Italy,Construction & Engineering,401.9,71.2,"21,741,211","4,331,470",29,29,2017
431,Continest,Hungary,Manufacturing,398.2,70.8,"10,669,310","2,263,411",73,14,2019
432,Mare20,Italy,Hospitality & Travel,398,70.8,"4,794,843","962,726",7,7,2017
433,ProjektBauer,Switzerland,Advertising & Marketing,396.5,70.6,"1,553,624","268,758",8,3,2018
434,Italiana Facility Management,Italy,Energy & Utilities,396.2,70.6,"36,465,304","7,349,393",254,310,2018
435,Ninesquared,Italy,Apparel & Fashion,393.8,70.3,"1,938,949","392,698",5,1,2017
436,HNH Hospitality,Italy,Hospitality & Travel,393.4,70.2,"105,763,529","21,435,005",625,306,2010
437,Giganci Programowania,Poland,Education & Social Services,391.9,70.1,"4,686,213","906,400",34,10,2017
438,Pinsami,Italy,Food & Beverages,391.8,70.1,"24,060,321","4,892,052",127,50,2015
439,Ebbot,Sweden,IT & Software,391.7,70.1,"1,642,322","370,085",26,7,2018
440,Cianciolo Group,Italy,Manufacturing,390.4,69.9,"15,117,225","3,082,429",55,42,2012
441,Englputzeder,Austria,Ecommerce,387.7,69.6,"27,678,600","5,675,000",26,5,2013
442,andrea,Italy,Construction & Engineering,386.9,69.5,"4,848,452","995,754",10,3,2016
443,SIKURO,Italy,IT & Software,379.9,68.7,"1,972,552","411,000",14,4,2017
444,Happy Team,Poland,IT & Software,379.6,68.6,"3,959,125","785,390",68,20,2015
445,Gesco,Italy,Energy & Utilities,379.3,68.6,"27,790,642","5,798,153",51,30,2006
446,Noah Maritime,Germany,Logistics & Transportation,377.5,68.4,"2,101,236","440,081",21,9,2019
447,Elektro Knaak,Germany,Construction & Engineering,377.1,68.3,"7,971,737","1,671,037",51,32,2017
448,DanAds,Sweden,Advertising & Marketing,374.3,68,"14,621,635","3,416,391",160,90,2013
449,ChapsVision,France,IT & Software,373.7,67.9,"107,741,000","22,744,000",542,220,2019
450,INNPRO,Poland,Wholesale,372,67.7,"153,609,030","30,965,405",280,69,2013
451,Clear Junction,UK,"Fintech, Financial Services & Insurance",371.3,67.7,"19,946,459","4,232,298",101,88,2016
452,Landbay,UK,"Fintech, Financial Services & Insurance",368.9,67.4,"43,466,930","8,980,492",148,90,2013
453,Lakogep,Hungary,Construction & Engineering,367.1,67.2,"111,968,081","25,332,560",44,23,2011
454,Jungle,Italy,Advertising & Marketing,366.3,67.1,"6,244,848","1,339,255",9,6,2009
455,Fokus IT,France,IT & Software,366,67,"7,277,088","1,561,696",54,18,2019
456,Sparteo,France,Advertising & Marketing,365.2,66.9,"21,538,342","4,630,019",74,34,2016
457,eViso,Italy,IT & Software,364.6,66.9,"225,665,906","48,567,777",54,33,2012
458,Midsummer Energy,UK,Wholesale,363.6,66.7,"118,551,389","24,774,129",91,24,2010
459,Pure Gaming,France,Ecommerce,363.4,66.7,"32,366,480","6,984,956",8,2,2009
460,better decisions group,UK,IT & Software,362.9,66.7,"2,066,372","432,416",20,6,2013
461,Skills,Italy,Education & Social Services,362.4,66.6,"4,593,791","993,530",34,11,2013
462,B+S Bau und Sicherungsgesellschaft,Germany,Logistics & Transportation,361.7,66.5,"50,952,760","11,036,559",284,115,2015
463,Laudevco,France,Wholesale,361,66.4,"13,080,307","2,837,609",27,8,2015
464,Elettro D/E-Meraki,Italy,Energy & Utilities,360.8,66.4,"4,077,232","884,848",28,21,2003
465,TapNation,France,Leisure & Entertainment,358.5,66.1,"47,242,391","10,303,461",40,20,2019
466,Suncity Group,Italy,Energy & Utilities,357.4,66,"66,278,986","14,490,496",109,34,2012
467,HD Insurance,Cyprus,"Fintech, Financial Services & Insurance",355,65.7,"168,692,903","37,072,866",268,190,2011
468,NúNú,Iceland,"Fintech, Financial Services & Insurance",354,65.6,"2,448,139","519,575",3,1,2020
469,Italiana Energia,Italy,Energy & Utilities,352.7,65.4,"6,906,546","1,525,614",25,20,2016
470,Happily,Italy,"Professional, Scientific & Technical Services",352.6,65.4,"1,771,696","391,489",16,7,2017
471,Yapily,UK,"Fintech, Financial Services & Insurance",352,65.3,"5,829,365","1,249,354",117,40,2017
472,Tappe Consulting,Germany,"Fintech, Financial Services & Insurance",351.7,65.3,"1,790,829","396,425",5,4,2015
473,PPC,Germany,Media & Telecommunications,350.4,65.1,"65,959,050","14,645,874",88,77,2000
474,Storebox,Austria,Logistics & Transportation,349.7,65.1,"11,112,684","2,470,961",71,45,2016
475,Immerse Education,UK,Education & Social Services,349.7,65.1,"11,460,226","2,468,896",44,22,2012
476,C. Costruzioni Srl,Italy,Construction & Engineering,349.6,65,"10,009,217","2,226,361",26,11,2012
477,Barberino's,Italy,Retail,348.2,64.9,"4,230,262","943,767",68,27,2015
478,Incipion,Germany,Construction & Engineering,348.1,64.9,"11,659,218","2,602,015",36,24,2016
479,Dialectica,UK,"Professional, Scientific & Technical Services",346,64.6,"79,265,792","16,044,500",998,254,2015
480,GI Costruzioni,Italy,Construction & Engineering,345.6,64.6,"27,230,205","6,111,337",27,17,2010
481,releva,Germany,Advertising & Marketing,345.3,64.5,"3,538,359","794,593",10,5,2015
482,weLOG,Germany,Logistics & Transportation,344.5,64.4,"8,889,000","2,000,000",190,60,2019
483,VisMederi,Italy,Pharmaceuticals & Cosmetics,343.5,64.3,"26,540,261","5,984,693",115,44,2009
484,FAE Technology,Italy,Manufacturing,342.4,64.2,"64,819,321","14,651,289",168,96,1990
485,Sidly,Poland,Health Care & Life Sciences,341.8,64.1,"2,907,505","626,142",76,19,2014
486,Insoore,Italy,"Fintech, Financial Services & Insurance",341.3,64,"3,688,684","835,901",67,35,2015
487,Global Commissioning,UK,"Professional, Scientific & Technical Services",340.5,63.9,"14,508,430","3,190,605",75,23,2019
488,Rifò,Italy,Apparel & Fashion,339.9,63.9,"2,846,136","646,928",19,2,2018
489,NRG MED,Italy,Energy & Utilities,339.8,63.8,"15,825,434","3,598,495",71,30,2017
490,Lemonway,France,"Fintech, Financial Services & Insurance",339.2,63.8,"32,877,495","7,486,373",125,84,2007
491,Lepaya,Netherlands,IT & Software,338.3,63.7,"21,159,285","4,827,461",244,187,2017
492,Auto-Center Stolberg,Germany,Automotive,337,63.5,"6,451,768","1,476,256",7,2,2015
493,HF S.r.l. (Accaeffe Building Solutions),Italy,Construction & Engineering,336.8,63.5,"7,150,798","1,637,232",19,8,2012
494,Skladon,Czech Republic,Logistics & Transportation,336.3,63.4,"8,293,000","1,788,555",112,45,2015
495,Dreamix,Bulgaria,IT & Software,336,63.4,"17,966,000","4,121,000",209,65,2006
